city,state,pickup_count,delivery_count,latitude,longitude
AVON PARK,FL,0,1,27.5898,-81.5068
Abbeville,AL,1,0,31.5664,-85.2528
Abbeville,SC,210,87,34.1787,-82.3774
Aberdeen,MD,98,66,39.5151,-76.1733
Aberdeen,MS,0,1,33.8287,-88.5539
Aberdeen,NC,23,14,35.135,-79.4326
Aberdeen,OH,2,2,38.6713,-83.7704
Aberdeen Proving Ground,MD,0,1,39.4672,-76.1308
Abilene,TX,1,0,32.4543,-99.7384
Abingdon,MD,0,1,39.4629,-76.2754
Abingdon,VA,40,51,36.709,-81.9713
Accomac,VA,0,1,37.7196,-75.6673
Acworth,GA,18,15,34.0566,-84.6716
Ada,OH,2,1,40.7681,-83.8251
Adairsville,GA,29,12,34.3709,-84.9212
Adams,WI,2,1,43.9554,-89.8169
Adams Run,SC,0,1,32.7219,-80.3465
Adamsville,TN,0,2,35.2564,-88.3862
Addis,LA,1,0,30.3652,-91.2658
Addison,AL,0,1,34.2017,-87.1765
Addison,IL,2,37,41.9313,-88.0085
Addyston,OH,0,1,39.1371,-84.7104
Adel,GA,0,5,31.1264,-83.4229
Adel,IA,3,1,41.6101,-94.0124
Adrian,MI,6,3,41.8994,-84.0447
Advance,NC,579,32,35.9468,-80.4045
Afton,VA,0,2,38.0266,-78.8357
Ahoskie,NC,5,4,36.2842,-76.9902
Aiken,SC,46,47,33.5303,-81.7271
Airmont,NY,1,0,41.0992,-74.0989
Akron,IN,0,3,41.0388,-86.0249
Akron,MI,1,0,43.5667,-83.5143
Akron,NY,5,2,43.018,-78.4978
Akron,OH,125,102,41.0798,-81.5219
Alabaster,AL,1,6,33.2198,-86.8225
Alachua,FL,0,9,29.7779,-82.4832
Albany,GA,44,68,31.5776,-84.1762
Albany,LA,0,1,30.4993,-90.5839
Albany,MN,0,1,45.6284,-94.5675
Albany,NY,46,43,42.6664,-73.7987
Albany,OH,0,2,39.2245,-82.1975
Albemarle,NC,9,49,35.3594,-80.1915
Albert Lea,MN,1,1,43.6548,-93.3643
Albertson,NY,1,0,40.7715,-73.6482
Albertville,AL,5,6,34.2633,-86.2108
Albia,IA,1,2,41.0268,-92.8038
Albion,IL,3,0,38.3766,-88.058
Albion,IN,0,1,41.3966,-85.4187
Albion,MI,0,4,42.2478,-84.7572
Albion,NY,3,6,43.246,-78.1902
